Art,Name,Status,Website,robots,Crawl-Delay,Sitemap,Veranstaltungsseiten,Beispiel-URL,JSON-LD,Hinweis,lat,lng
Veranstaltungsort,ChouChou,KANDIDAT,https://www.chouchou.lu/,erlaubt,,https://www.chouchou.lu/sitemap.xml,3,https://www.chouchou.lu/d-tails-et-inscription/womens-day-workshops,ja,,49.599042,6.112499
Veranstaltungsort,Quartier Stuff Grünewald,KANDIDAT,https://www.microtarians.com,erlaubt,,https://www.microtarians.com/sitemap.xml,37,https://www.microtarians.com/events,nein,,49.631351,6.174921
Veranstaltungsort,Tero river house,KANDIDAT,https://tero.be/fr/lieux/salles-de-reception/river-house-luxembourg/,erlaubt,,,1,https://tero.be/fr/evenements/,nein,"keine Sitemap, Pfad geraten",49.612534,6.142691
Veranstaltungsort,Uergelfabrik,GESPERRT,https://www.uergelfabrik.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.726512,6.124165
Veranstaltungsort,chu'mani asbl,NICHTS GEFUNDEN,http://www.tipi.lu,erlaubt,,,0,,,,49.712856,6.049842
Gemeinschaftshaus,"Centre ""A Foussen""",GESPERRT,http://www.opf.lu,verbietet,,,,,,robots.txt untersagt das Crawlen,49.521564,5.898633
Gemeinschaftshaus,Centre Culturel Portugais – Camões I.P.,GESPERRT,https://www.facebook.com/CCPLUXEMBURGO/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.604197,6.103160
Gemeinschaftshaus,Centre culturel,KANDIDAT,https://www.kehlen.lu/,erlaubt,,,1,https://www.kehlen.lu/fr/agenda,nein,"keine Sitemap, Pfad geraten",49.674208,6.010932
Gemeinschaftshaus,Centre culturel Al Schmelz,KANDIDAT,https://www.steinfort.lu/culture-et-loisirs/calendrier-des-manifestations/salles-communales,erlaubt,,,1,https://www.steinfort.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.662795,5.912812
Gemeinschaftshaus,"Centre culturel régional ""Aalt Stadhaus""",KANDIDAT,https://www.stadhaus.lu/,erlaubt,,,1,https://www.stadhaus.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.521011,5.887396
Gemeinschaftshaus,Centre de Jeunesse Weicherdange,NICHTS GEFUNDEN,https://weicherdange.snj.lu/,erlaubt,,,0,,,,50.037733,5.992883
Gemeinschaftshaus,"Centre de Rencontre ""Um Buer""",KANDIDAT,https://reckange.lu/culture-musique/centre-de-rencontre,erlaubt,,https://reckange.lu/sitemap_index.xml,144,https://reckange.lu/events/,ja,,49.547981,6.016975
Gemeinschaftshaus,Club Senior Prënzebierg,GESPERRT,http://homepages.internet.lu/clubseniorprenzebierg,verbietet,,,,,,robots.txt untersagt das Crawlen,49.524004,5.891031
Gemeinschaftshaus,Eist Heem,GESPERRT,https://www.eistheem.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.541485,6.132212
Gemeinschaftshaus,Hindu Forum Luxembourg,KANDIDAT,https://www.hinduforum.lu/,erlaubt,,,1,https://www.hinduforum.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.644948,6.128524
Gemeinschaftshaus,Jugendhaus Niederanven,GESPERRT,http://www.jugendhaus-niederanven.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.649416,6.246703
Gemeinschaftshaus,Jugendhaus Olm - JUKI Ollem,KANDIDAT,https://echwellechkann.lu/annuaire/jugendhaus-olm/,erlaubt,,https://echwellechkann.lu/sitemap.xml,53,https://echwellechkann.lu/fr/activities/,nein,,49.646674,5.997072
Gemeinschaftshaus,Jugendtreff Norden,GESPERRT,http://www.jsic.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,50.119279,5.992007
Gemeinschaftshaus,"Kultur- a Geschichtshaus ""A Gadder""",NICHTS GEFUNDEN,https://www.agadder.lu,erlaubt,10.0,https://www.agadder.lu/sitemap.xml,0,,,,49.507649,5.922733
Gemeinschaftshaus,Level2 Hackerspace,GESPERRT,https://level2.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.591526,6.140659
Gemeinschaftshaus,Lëtzebuerger Guiden a Scouten,KANDIDAT,https://lgs.lu,erlaubt,,https://lgs.lu/wp-sitemap.xml,1,https://lgs.lu/lokal-eventer/,nein,,49.628504,6.133305
Gemeinschaftshaus,Maison de la Jeunesse,KANDIDAT,https://maison-jeunesse.lu/,erlaubt,,,1,https://maison-jeunesse.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.591628,6.140691
Gemeinschaftshaus,Maison des Jeunes,KANDIDAT,https://mamer.lu/jeunesseniors/jugendhaus/,erlaubt,,https://mamer.lu/sitemap_index.xml,916,https://mamer.lu/events/go/,ja,,49.627053,6.022555
Gemeinschaftshaus,Maison des Jeunes,KANDIDAT,https://www.judiff.lu/,erlaubt,,https://www.judiff.lu/de_de-sitemap.xml,4,https://www.judiff.lu/de/event-details/01-08-digital-art-workshop-brunch,ja,,49.533911,5.890777
Gemeinschaftshaus,Maison des Jeunes Gare,KANDIDAT,https://www.inter-actions.lu/type_portfolio/maison-des-jeunes-gare/,erlaubt,,https://www.inter-actions.lu/sitemap.xml,328,https://inter-actions.lu/visiteca_sw/,nein,,49.602655,6.135265
Gemeinschaftshaus,Maison des jeunes Mertert-Wasserbillig,KANDIDAT,https://www.croix-rouge.lu/fr/service/les-maisons-des-jeunes/mertert-wasserbillig/,erlaubt,,https://www.croix-rouge.lu/sitemap.xml,91,https://www.croix-rouge.lu/fr/actualites/,nein,,49.714168,6.501081
Gemeinschaftshaus,Mamerhaff,NICHTS GEFUNDEN,http://www.mamerhaff.lu,erlaubt,,,0,,,,49.630986,6.021329
Gemeinschaftshaus,Remigiussall,KANDIDAT,https://web.cathol.lu/article14238,erlaubt,,https://web.cathol.lu/sitemap.xml,158,https://web.cathol.lu/1/services/luxpele-a-s-b-l/article/agenda,nein,,49.669873,5.950874
Gemeinschaftshaus,Schengener Haff,NICHTS GEFUNDEN,https://schengenerhaff.lu,erlaubt,,https://schengenerhaff.lu/sitemap_index.xml,0,,,,49.471135,6.366025
